participant_ID,word_type,voice,hits,misses,n_repeats,hit_rate,fa_rate,corr_memorability
232,LL,Active,6,0,6,1.0,0.1111,0.8889
232,HL,Passive,6,0,6,1.0,0.1111,0.8889
232,HH,Passive,6,0,6,1.0,0.1111,0.8889
232,LH,Active,6,0,6,1.0,0.1111,0.8889
232,LL,Passive,6,0,6,1.0,0.1111,0.8889
232,HH,Active,6,0,6,1.0,0.1111,0.8889
232,LH,Passive,5,1,6,0.8333,0.1111,0.7222
232,HL,Active,6,0,6,1.0,0.1111,0.8889
235,LH,Passive,4,2,6,0.6667,0.1528,0.5139
235,LL,Passive,2,4,6,0.3333,0.1528,0.1806
235,HL,Passive,6,0,6,1.0,0.1528,0.8472
235,HH,Passive,6,0,6,1.0,0.1528,0.8472
235,LL,Active,5,1,6,0.8333,0.1528,0.6806
235,LH,Active,4,2,6,0.6667,0.1528,0.5139
235,HL,Active,4,2,6,0.6667,0.1528,0.5139
235,HH,Active,5,1,6,0.8333,0.1528,0.6806
236,HL,Active,5,1,6,0.8333,0.1042,0.7292
236,LH,Passive,6,0,6,1.0,0.1042,0.8958
236,HH,Active,6,0,6,1.0,0.1042,0.8958
236,LH,Active,5,1,6,0.8333,0.1042,0.7292
236,HH,Passive,6,0,6,1.0,0.1042,0.8958
236,HL,Passive,6,0,6,1.0,0.1042,0.8958
236,LL,Active,6,0,6,1.0,0.1042,0.8958
236,LL,Passive,6,0,6,1.0,0.1042,0.8958
241,HH,Active,5,1,6,0.8333,0.1667,0.6667
241,HH,Passive,6,0,6,1.0,0.1667,0.8333
241,LH,Active,4,2,6,0.6667,0.1667,0.5
241,LH,Passive,6,0,6,1.0,0.1667,0.8333
241,HL,Passive,6,0,6,1.0,0.1667,0.8333
241,HL,Active,5,1,6,0.8333,0.1667,0.6667
241,LL,Active,5,1,6,0.8333,0.1667,0.6667
241,LL,Passive,6,0,6,1.0,0.1667,0.8333
242,LH,Passive,5,1,6,0.8333,0.0208,0.8125
242,LH,Active,6,0,6,1.0,0.0208,0.9792
242,LL,Active,3,3,6,0.5,0.0208,0.4792
242,LL,Passive,4,2,6,0.6667,0.0208,0.6458
242,HH,Active,6,0,6,1.0,0.0208,0.9792
242,HL,Active,5,1,6,0.8333,0.0208,0.8125
242,HH,Passive,5,1,6,0.8333,0.0208,0.8125
242,HL,Passive,6,0,6,1.0,0.0208,0.9792
243,HL,Active,6,0,6,1.0,0.0486,0.9514
243,HH,Passive,6,0,6,1.0,0.0486,0.9514
243,LH,Passive,6,0,6,1.0,0.0486,0.9514
243,HH,Active,6,0,6,1.0,0.0486,0.9514
243,HL,Passive,6,0,6,1.0,0.0486,0.9514
243,LL,Passive,6,0,6,1.0,0.0486,0.9514
243,LH,Active,5,1,6,0.8333,0.0486,0.7847
243,LL,Active,5,1,6,0.8333,0.0486,0.7847
245,HL,Passive,1,3,4,0.25,0.0938,0.1562
245,LH,Passive,1,3,4,0.25,0.0938,0.1562
245,HL,Active,2,2,4,0.5,0.0938,0.4062
245,HH,Passive,0,4,4,0.0,0.0938,-0.0938
245,LH,Active,2,2,4,0.5,0.0938,0.4062
245,HH,Active,2,2,4,0.5,0.0938,0.4062
245,LL,Passive,1,3,4,0.25,0.0938,0.1562
245,LL,Active,0,4,4,0.0,0.0938,-0.0938
246,LL,Active,3,3,6,0.5,0.0486,0.4514
246,LH,Active,3,3,6,0.5,0.0486,0.4514
246,LL,Passive,3,3,6,0.5,0.0486,0.4514
246,HH,Passive,3,3,6,0.5,0.0486,0.4514
246,HL,Active,3,3,6,0.5,0.0486,0.4514
246,HH,Active,3,3,6,0.5,0.0486,0.4514
246,LH,Passive,2,4,6,0.3333,0.0486,0.2847
246,HL,Passive,3,3,6,0.5,0.0486,0.4514
247,LH,Active,6,0,6,1.0,0.0278,0.9722
247,LH,Passive,6,0,6,1.0,0.0278,0.9722
247,HH,Passive,6,0,6,1.0,0.0278,0.9722
247,LL,Passive,5,1,6,0.8333,0.0278,0.8056
247,HL,Passive,4,2,6,0.6667,0.0278,0.6389
247,HH,Active,5,1,6,0.8333,0.0278,0.8056
247,LL,Active,5,1,6,0.8333,0.0278,0.8056
247,HL,Active,5,1,6,0.8333,0.0278,0.8056
249,HH,Passive,3,3,6,0.5,0.1806,0.3194
249,HH,Active,6,0,6,1.0,0.1806,0.8194
249,LL,Active,4,2,6,0.6667,0.1806,0.4861
249,HL,Passive,6,0,6,1.0,0.1806,0.8194
249,LH,Passive,5,1,6,0.8333,0.1806,0.6528
249,HL,Active,3,3,6,0.5,0.1806,0.3194
249,LL,Passive,3,3,6,0.5,0.1806,0.3194
249,LH,Active,5,1,6,0.8333,0.1806,0.6528
251,LH,Passive,5,1,6,0.8333,0.3056,0.5278
251,LL,Active,6,0,6,1.0,0.3056,0.6944
251,LH,Active,6,0,6,1.0,0.3056,0.6944
251,HL,Active,6,0,6,1.0,0.3056,0.6944
251,LL,Passive,6,0,6,1.0,0.3056,0.6944
251,HH,Active,6,0,6,1.0,0.3056,0.6944
251,HL,Passive,6,0,6,1.0,0.3056,0.6944
251,HH,Passive,6,0,6,1.0,0.3056,0.6944
252,LL,Passive,4,2,6,0.6667,0.0694,0.5972
252,LL,Active,6,0,6,1.0,0.0694,0.9306
252,LH,Active,6,0,6,1.0,0.0694,0.9306
252,HL,Passive,6,0,6,1.0,0.0694,0.9306
252,HL,Active,5,1,6,0.8333,0.0694,0.7639
252,LH,Passive,6,0,6,1.0,0.0694,0.9306
252,HH,Active,6,0,6,1.0,0.0694,0.9306
252,HH,Passive,6,0,6,1.0,0.0694,0.9306
253,LL,Passive,6,0,6,1.0,0.1042,0.8958
253,LH,Passive,6,0,6,1.0,0.1042,0.8958
253,LL,Active,6,0,6,1.0,0.1042,0.8958
253,LH,Active,6,0,6,1.0,0.1042,0.8958
253,HL,Active,6,0,6,1.0,0.1042,0.8958
253,HH,Active,6,0,6,1.0,0.1042,0.8958
253,HH,Passive,6,0,6,1.0,0.1042,0.8958
253,HL,Passive,6,0,6,1.0,0.1042,0.8958
254,LH,Passive,5,1,6,0.8333,0.2222,0.6111
254,HL,Active,6,0,6,1.0,0.2222,0.7778
254,HH,Active,2,4,6,0.3333,0.2222,0.1111
254,HL,Passive,5,1,6,0.8333,0.2222,0.6111
254,LH,Active,4,2,6,0.6667,0.2222,0.4444
254,LL,Active,5,1,6,0.8333,0.2222,0.6111
254,HH,Passive,5,1,6,0.8333,0.2222,0.6111
254,LL,Passive,5,1,6,0.8333,0.2222,0.6111
256,HL,Passive,6,0,6,1.0,0.1389,0.8611
256,HL,Active,6,0,6,1.0,0.1389,0.8611
256,LL,Active,5,1,6,0.8333,0.1389,0.6944
256,LH,Active,6,0,6,1.0,0.1389,0.8611
256,LL,Passive,4,2,6,0.6667,0.1389,0.5278
256,HH,Passive,6,0,6,1.0,0.1389,0.8611
256,HH,Active,6,0,6,1.0,0.1389,0.8611
256,LH,Passive,6,0,6,1.0,0.1389,0.8611
257,LL,Passive,4,2,6,0.6667,0.0972,0.5694
257,HH,Passive,3,3,6,0.5,0.0972,0.4028
257,HL,Passive,2,4,6,0.3333,0.0972,0.2361
257,LL,Active,6,0,6,1.0,0.0972,0.9028
257,HL,Active,3,3,6,0.5,0.0972,0.4028
257,LH,Active,4,2,6,0.6667,0.0972,0.5694
257,LH,Passive,2,4,6,0.3333,0.0972,0.2361
257,HH,Active,3,3,6,0.5,0.0972,0.4028
258,LL,Passive,4,0,4,1.0,0.0,1.0
258,LH,Passive,3,1,4,0.75,0.0,0.75
258,HL,Passive,4,0,4,1.0,0.0,1.0
